Name,Website,Category,Products,Employees,Revenue,Funding,Region,Status,AI Innovator,Recent Funding,Founded,HQ,Threat,Notes,
Profit.co,https://www.profit.co,Empuls,,11-50,—,—,OKR Platform,Global,No,OKR & strategy execution platform.,2018,USA,Low,,
Promomash,https://promomash.com,"Loyalife, Plum",,11-50,—,—,Promotions Mgmt,USA,No,Trade promotions management & planning software.,2013,USA,Low,,
PulseID,https://www.pulseid.com,Card-linked Offers,Loyalife,51-200,—,—,Europe,Active,Yes,,2012,Ireland,Medium,AI card-linked offers & loyalty.,
Punchh,https://punchh.com,Restaurant Loyalty,Loyalife,201-500,$59M,$73M,Global,Acquired,Yes,,2010,USA,Low,Acquired by PAR Technology. Restaurant loyalty.,
PX Hub,https://www.pxhub.io,Empuls,,11-50,—,$160K,Employee Surveys,Europe,No,People experience surveys & HR insights. UK.,2018,UK,Low,,
QaizenX,https://www.qaizenx.com,Empuls,,11-50,—,—,Employee Engagement,India,Yes,AI employee engagement & experience platform. India.,2020,India,Low,,
Qarrot,https://qarrot.com,Employee RnR,Empuls,11-50,$435K,$300K,Canada,Active,No,,2016,Canada,Low,Employee motivation & recognition.,
QCommission,https://www.qcommission.com,Sales Commission,Compass,51-200,—,—,USA,Active,No,,2004,USA,Low,Sales commission management.,
Qlearsite,https://www.qlearsite.com,Empuls,,11-50,$1.7M,$7.7M,People Analytics,Europe,No,People analytics & workforce insights. UK.,2016,UK,Low,,
Qobra,https://www.qobra.co,Sales Compensation,Compass,51-200,$7.6M,$16.1M,Europe,Active,Yes,$16.1M raised,2019,France,Medium,Modern sales comp for European market.,
Quality Incentive Co,https://qualityincentivecompany.com,All Rewards,Plum,2-10,—,—,USA,Active,No,,2015,USA,Low,Small boutique incentive company.,
Qualtrics,https://www.qualtrics.com,Surveys/XM,Empuls,5001-10000,$1.46B,$400M,Global,Active,Yes,,2002,USA,Medium,Leading XM & employee surveys.,
Quantum Workplace,https://www.quantumworkplace.com,Employee Engagement,Empuls,51-200,$26.9M,—,USA,Active,Yes,,2002,USA,Medium,"Engagement, recognition & performance.",
Questback,https://www.questback.com,Empuls,,51-200,$15M,$18.7M,Employee Surveys,Europe,No,Employee & customer experience surveys. Nordics.,2000,Norway,Low,,
QuotaPath,https://www.quotapath.com,Sales Commission,Compass,51-200,$12.2M,$67.3M,USA,Active,No,,2018,USA,High,Sales commission tracking. $67.3M raised.,
R360,https://www.r360.com,Loyalty Mgmt,Loyalife,11-50,$3.8M,—,Global,Active,No,,2009,—,Low,Loyalty program management platform.,
Range,https://www.range.co,Empuls,,11-50,—,—,OKR / Remote Work,USA,No,"Remote teamwork, standups & OKR platform.",2012,USA,Low,,
Reachdesk,https://www.reachdesk.com,Corp Gifting,Plum,201-500,$27.5M,$49M,Global,Active,Yes,$49M Series B,2018,USA,Medium,AI corporate gifting & direct mail.,
Recharge.com,https://company.recharge.com,Gift Cards/Prepaid,Plum,51-200,$55.8M,$71.8M,Global,Active,No,,2003,Netherlands,Medium,Digital gift cards & top-ups globally.,
Recognation,https://recognation.com,Employee RnR,Empuls,11-50,$3.8M,—,USA,Active,No,,2012,USA,Low,Service awards & recognition programs.,
Recognize,https://recognizeapp.com,Employee RnR,Empuls,11-50,—,$670K,USA,Active,No,,2012,USA,Low,P2P recognition & gamification.,
Reelo,https://www.reelo.io,Loyalty Software,Loyalife,51-200,$185K,$1.27M,India,Active,No,,2021,India,Low,Loyalty for India SMBs.,
Reflektive,https://www.reflektive.com,OKR/Surveys,Empuls,51-200,$8.3M,$102M,USA,Active,No,,2014,USA,Low,Performance mgmt & people analytics.,
Reloadly,https://www.reloadly.com,Gift Cards API,Plum,51-200,$15.5M,$7.7M,Global,Active,No,,2019,USA,Low,API for gift cards & mobile top-ups.,
RevLifter,https://www.revlifter.com,AI Coupons,Plum,25-50,$6M,$5.8M,Europe,Active,Yes,$5.8M raised,2017,UK,Low,AI personalised digital coupons.,
RevTrax,https://www.revtrax.com,AI Promotions,Plum,50-100,$10M,$14M,USA,Active,Yes,,2008,USA,Low,AI-driven personalized promotions.,
Reward Gateway,https://www.rewardgateway.com,Benefits & RnR,Empuls,501-1000,$89.5M,—,Global,Active,No,,2006,UK,High,Comprehensive benefits & recognition.,
Reward Insight,https://www.rewardinsight.com,Loyalty/Offers,Loyalife,51-200,$46.6M,—,Europe,Active,No,,2001,UK,Medium,Loyalty & offers for financial services.,
Reward the World,https://rewardtheworld.net,Reward Marketplace,Plum,11-50,—,—,Global,Active,No,,2021,UK,Low,Global reward marketplace 10K+ options.,
Rewardian,https://www.rewardian.com,Employee RnR,Empuls,11-50,$1.4M,—,USA,Active,No,,2014,USA,Low,Simple recognition & reward programs.,
Rewardify,https://irewardify.com,Gift Cards/Merch,Plum,11-50,—,—,USA,Active,No,,2013,USA,Low,Gift card & merchandise programs.,
Rewardops,https://rewardops.com,Reward API,"Plum,Loyalife",51-200,$4.8M,—,Canada,Active,No,,2013,Canada,Medium,White-label marketplace & rewards API.,
Rewardport,https://www.rewardport.in,Loyalty,Loyalife,51-200,$734K,—,India,Active,No,,2009,India,Low,Loyalty & consumer engagement. India.,
Rewardz,https://rewardz.sg,Employee Engagement,Empuls,51-200,$6.77M,$2.1M,APAC,Active,No,,2012,Singapore,Medium,Employee R&R & gamification. SEA.,
Rideau (Engage2Excel),https://www.engage2excel.com,Employee Engagement,Empuls,51-200,—,—,Canada,Active,No,,1912,Canada,Low,Employee loyalty & recognition.,
Rise.ai,https://rise.ai,Gift Cards,Plum,11-50,$2.9M,$454K,Global,Active,No,,2015,Israel,Low,Gift card & store credit for eCommerce.,
Rivo Loyalty,https://www.rivo.io,eComm Loyalty,Loyalife,11-50,—,—,Global,Active,No,,2019,—,Low,eCommerce loyalty program platform.,
Royal Rec,https://royalrec.com,Empuls,,11-50,—,—,Employee RnR,USA,No,Employee recognition & reward programs.,2018,USA,Low,,
Runa (WeGift),https://wegift.io,Gift Cards API,Plum,51-200,$23.7M,$20M,Global,Active,No,,2015,UK,High,B2B gift card delivery network & API.,
Rungway,https://www.rungway.com,Intranet,Empuls,11-50,$3.7M,$3.9M,Europe,Active,No,,2014,UK,Low,Employee engagement & intranet.,
Rush,https://www.rush.ph,Loyalife,,11-50,—,—,Loyalty,APAC,No,Loyalty & rewards platform. Philippines market.,2019,Philippines,Low,,
Rybbon,https://www.rybbon.net,Survey Rewards,Plum,51-200,$11.9M,—,USA,Active,No,,2015,USA,Medium,Digital incentives for surveys & research.,
Saasquatch,https://www.saasquatch.com,Loyalty/Referrals,Loyalife,51-200,—,—,Canada,Active,No,,2013,Canada,Low,"Loyalty, referrals & mobile rewards.",
Sailplay,https://sailplay.com,Loyalty/Engagement,Loyalife,11-50,$1.2M,—,Europe,Active,No,,2013,Russia,Low,Loyalty & engagement for small retailers.,
Sales Screen,https://www.salesscreen.com,Sales Gamification,Compass,51-200,$7M,—,Europe,Active,No,,2013,Norway,Low,Sales gamification & engagement CRM.,
Salesforce (Spiff),https://spiff.com,Sales Commission,Compass,51-200,$17.8M,$68M,Global,Acquired,Yes,,2018,USA,High,Acquired by Salesforce ~$419M 2024.,
SAP CallidusCloud,http://www.calliduscloud.com,Sales Perf Mgmt,Compass,10000+,—,SAP,Global,Acquired,Yes,,1972,Germany,High,SAP-owned. Incentive comp & quota mgmt.,
SAP Emarsys,https://www.sap.com,Customer Engagement,"Loyalife,Empuls",10000+,—,SAP,Global,Acquired,Yes,,2000,Germany,Medium,SAP-owned customer engagement & loyalty.,
Satispay,https://www.satispay.com,"Loyalife, Plum",,501-1000,—,—,Payments / Loyalty,Europe,No,Mobile payments with integrated loyalty. Italy/EU.,2013,Italy,Low,,
Say Thanks,https://www.saythanks.app,Rewards API,Plum,2-10,—,—,Global,Active,No,,2020,—,Low,Simple API for sending reward vouchers.,
Scorenotch,https://www.scorenotch.com,Sales Gamification,Compass,1001-5000,—,—,India,Active,No,,2008,India,Low,Sales gamification. India-focused.,
Select Your Gift,https://www.select-your-gift.com,Gifts/RnR,Plum,11-50,—,—,USA,Active,No,,2000,USA,Low,Corporate gifts & recognition awards.,
Selerix,https://www.selerix.com,Empuls,,51-200,$18.4M,—,Benefits Administration,USA,No,Employee benefits administration & engagement platform.,2002,USA,Low,,
Semos Cloud,https://semoscloud.com,Employee Engagement,Empuls,51-200,—,—,Global,Active,No,,2014,USA,Low,SAP-integrated employee recognition.,
Sendoso,https://sendoso.com,Corp Gifting,Plum,201-500,$84.8M,$152.7M,Global,Active,Yes,,2016,USA,High,Market leader corporate sending. $152.7M.,
SessionM,https://www.mastercardservices.com,Loyalty Platform,Loyalife,201-500,$13.2M,Mastercard,Global,Acquired,Yes,,2011,USA,Medium,Acquired by Mastercard. AI loyalty.,
Simple OKR,https://simpleokr.com,Empuls,,11-50,—,—,OKR Platform,USA,No,Simple OKR management for small teams.,2018,USA,Low,,
Simployer,https://www.simployer.com,Empuls,,201-500,$38.8M,—,HR Platform,Europe,No,Full HRMS platform. Strong Nordics presence.,2015,Norway,Low,,
Simpplr,https://www.simpplr.com,Employee Engagement,Empuls,201-500,$82M,$131M,Global,Active,Yes,,2014,USA,Medium,AI intranet & employee engagement.,
Sioncentral,https://www.sioncentral.com,Sales Commission,Compass,11-50,—,—,USA,Active,No,,2018,USA,Low,Commission management platform.,
Skupos,https://skupos.and.together.agency,Loyalife,,51-200,$4M,$37M,Retail Loyalty,USA,No,Digital promotions & loyalty for convenience retail.,2016,USA,Low,,
Small Improvements,https://www.small-improvements.com,Employee Engagement,Empuls,11-50,$5.3M,—,Europe,Active,No,,2011,Germany,Low,Performance reviews & 360 feedback.,
SmartWinnr,https://www.smartwinnr.com,Sales Gamification,Compass,51-200,$478.5K,—,India,Active,No,,2017,India,Medium,"Sales training, enablement & gamification.",
Smile.io,https://smile.io,eComm Loyalty,Loyalife,51-200,—,—,Global,Active,No,,2012,Canada,Medium,Loyalty & rewards for eCommerce.,
Snap Loyalty,https://www.snaployaltyapp.com,Loyalife,,11-50,—,—,Loyalty SMB,USA,No,Mobile loyalty app for small businesses.,2018,USA,Low,,
Snapcomms,https://www.snapcomms.com,Empuls,,51-200,—,—,Employee Comms,APAC,No,Internal communications & employee notification platform.,2007,New Zealand,Low,,
Snappy,https://www.snappy.com,Corp Gifting,"Plum,Empuls",201-500,$20M,$104.8M,USA,Active,No,$35M Series C,2015,USA,Medium,Consumer-first corporate gifting. $104.8M.,
Sodexo / Pluxee,https://www.sodexo.in,Employee Benefits,"Plum,Empuls,Loyalife",10000+,$271M+,Public,Global,Active,No,,1966,France,High,Global giant. Pluxee spinoff. Critical.,
Sparkplug,https://sparkplug.app,"Compass, Empuls",,11-50,—,$10M,Frontline Sales Incentives,USA,Yes,AI incentives for frontline retail sales staff. Growing fast.,2020,USA,Medium,,
Speakap,https://www.speakap.com,Blue Collar App,Empuls,51-200,$11M,$11.3M,Europe,Active,No,,2011,Netherlands,Low,Frontline employee communication.,
Spendgo,https://www.spendgo.com,Loyalty/CRM,Loyalife,11-50,—,—,USA,Active,No,,2010,USA,Low,"Digital loyalty, CRM & offer management.",
Spinify,https://spinify.com,Sales Gamification,Compass,11-50,$507.5K,—,APAC,Active,No,,2016,Australia,Low,Sales leaderboards & gamification.,
SpotOn,https://www.spoton.com,POS/Loyalty,Loyalife,1001-5000,$494.5M,$900M,USA,Active,Yes,$900M raised,2017,USA,Medium,Restaurant & retail POS + loyalty.,
Springbig,https://springbig.com,Cannabis Loyalty,Loyalife,51-200,—,—,USA,Active,No,,2012,USA,Low,Loyalty & marketing for cannabis retail.,
Staff Circle,https://www.staffcircle.com,Employee Engagement,Empuls,11-50,$3.9M,—,Europe,Active,No,,2018,UK,Low,Employee engagement platform. UK.,
Stamp Loyalty,https://www.stamployalty.com,Loyalife,,11-50,—,—,Digital Stamp Cards,Global,No,Digital stamp card & loyalty for small businesses.,2015,—,Low,,
Stamped,https://stamped.io,Loyalty/Reviews,Loyalife,51-200,—,—,Global,Active,No,,2016,Singapore,Low,Loyalty & reviews for eCommerce.,
StashNextGen,https://www.stashnextgen.com,Plum,,11-50,—,—,Fintech,APAC,No,Fintech & rewards platform. Singapore.,2019,Singapore,Low,,
Streamz AI,https://www.streamz.ai,Sales Enablement,Compass,11-50,—,—,APAC,Active,Yes,,2016,Singapore,Low,AI sales enablement & coaching.,
Successories,https://www.successories.com,"Plum, Empuls",,51-200,—,—,Employee Recognition,USA,No,Motivational products & employee recognition gifts. 40yr heritage.,1985,USA,Low,,
SumUp,https://www.sumup.com,POS/Loyalty,"Plum,Loyalife",1001-5000,$138.2M,$994M,Europe,Active,No,,2012,UK,Medium,"POS, loyalty & gift cards for SMBs.",
SurveyMonkey Engage,https://www.surveymonkey.com,Empuls,,5001-10000,$376M,$694M,Employee Surveys,Global,No,Enterprise employee engagement surveys. $694M raised.,2002,USA,Medium,,
SVM Global,https://www.svmcards.com,Gift Cards,Plum,1001-5000,—,—,USA,Active,No,,1997,USA,Medium,Large-scale gift card processing.,
Swarmrewards,https://www.swarmrewards.io,Mobile Loyalty,Loyalife,11-50,—,—,APAC,Active,No,,2013,South Africa,Low,Mobile loyalty & digital gift cards.,
Swile,https://www.swile.co,Employee Benefits,Empuls,501-1000,$179.6M,$328M,Europe,Active,No,,2017,France,High,EU employee benefits unicorn. $328M.,
Synergita,https://www.synergita.com,OKR/Surveys,Empuls,11-50,$4.1M,—,India,Active,No,,2009,India,Low,"OKR, survey & performance. India.",
Synergy World,https://synergyworld.com,Gift Cards/Merch,Plum,11-50,—,—,USA,Active,No,,2010,USA,Low,Gift cards & merchandise solutions.,
Tability,https://www.tability.io,Empuls,,2-10,—,$1.1M,OKR Platform,APAC,No,OKR tracking & goal management platform.,2019,Australia,Low,,
Tada,https://www.usetada.com,Loyalty/Rewards,Loyalife,201-500,—,—,APAC,Active,No,,2012,Indonesia,Medium,Employee rewards & loyalty. SE Asia.,
Taj Online,https://tajonline.com,Plum,,51-200,—,—,Gift Cards / eComm,India,No,"Gift cards, vouchers & online gifting. India market.",2001,India,Low,,
Tallect,https://www.tallect.com,Empuls,,11-50,—,—,Employee Engagement,Global,No,Full employee engagement platform.,2018,—,Low,,
Talon.One,https://www.talon.one,Promotions Engine,"Plum,Loyalife",50-200,—,$17M,Global,Active,Yes,,2015,Germany,High,AI promotion & loyalty engine. $17M.,
TangoCard,https://www.tangocard.com,Gift Cards,Plum,201-500,$44.7M,$64.8M,Global,Active,No,,2009,USA,High,Leading gift card & reward delivery.,
Tap Mango,https://www.tapmango.com,Customer Loyalty,Loyalife,51-200,$12.4M,—,Canada,Active,No,,2012,Canada,Low,Customer loyalty for retailers.,
Tapmyback,https://www.tapmyback.com,Employee RnR,Empuls,2-10,—,—,Europe,Active,No,,2015,Portugal,Low,Recognition & survey platform.,
Terryberry,https://www.terryberry.com,Employee RnR,Empuls,201-500,$52.8M,—,Global,Active,No,,1918,USA,Medium,Employee rewards & recognition.,
Thanks (kwench+OCtanner),https://thanks.com,Employee RnR,Empuls,51-200,—,—,India,Active,No,,2019,India,Low,Recognition platform by OC Tanner.,
The Bot Platform,https://thebotplatform.com,Empuls,,11-50,—,—,Employee Engagement,Europe,No,"Employee engagement via Teams, Slack & WhatsApp bots.",2016,UK,Low,,
The Flyy,https://www.theflyy.com,Consumer Loyalty,Loyalife,11-50,—,—,India,Active,No,,2020,India,Low,Consumer loyalty & engagement. India.,
The Loyalty Works,https://theloyaltyworks.co.uk,Loyalife,,11-50,—,—,Loyalty Programs,Europe,No,Loyalty program design & management. UK.,2010,UK,Low,,
Thrive App,https://thrive.app,Empuls,,11-50,—,—,Employee App,Europe,No,Employee communication & engagement app. UK.,2011,UK,Low,,
Thrive Sparrow,https://www.thrivesparrow.com,Empuls,,2-10,—,—,Employee RnR,India,No,Employee recognition & rewards. India. Early stage.,2022,India,Low,,
Thriwe,https://thriwe.com,Loyalty/Benefits,"Loyalife,Empuls",201-500,$21.8M,$5.53M,India,Active,No,,2011,India,Medium,Loyalty & benefits. India & MEA.,
Tillo,https://tillo.io,Gift Cards API,Plum,51-200,$36.2M,$1.12M,Global,Active,No,,2016,UK,High,B2B gift card network. Direct API rival.,
Tinggly,https://www.tinggly.com,Experience Gifts,Plum,11-50,—,$170K,Global,Active,No,,2014,Lithuania,Low,Experience gift boxes & travel rewards.,
Touch Incentives,https://www.touchincentive.com,All Rewards,"Plum,Empuls,Compass",51-200,—,—,Europe,Active,No,,2010,Netherlands,Low,Employee & channel incentive programs.,
Touchstone Group,https://www.touchstone-group.com,Empuls,,51-200,—,—,Employee Engagement,Europe,No,Employee engagement surveys & consultancy. UK.,2000,UK,Low,,
Tradler,https://www.tradler.co,Sales Incentives,Compass,11-50,$1.8M,—,Europe,Active,No,,2017,Spain,Low,Sales incentive & gamification.,
Tremendous,https://www.tremendous.com,Gift Cards/Payouts,Plum,51-200,$14.2M,—,Global,Active,No,,2011,USA,Medium,"Modern payout: gift cards, ACH & prepaid.",
Trezoro Loyalty,https://www.trezoroloyalty.com,Loyalife,,2-10,$435K,—,Loyalty SMB,Global,No,Customizable loyalty platform for SMBs.,2015,—,Low,,
TriNet (Zenefits),https://www.trinet.com,Empuls,,1001-5000,$72.5M,$598K,HRMS / Benefits,USA,No,Full HRMS with benefits & payroll. Acquired Zenefits.,2013,USA,Low,,
Trust Payments,https://www.trustpayments.com,Payments/Loyalty,Loyalife,201-500,$14.1M,$5.57M,Europe,Active,No,,1997,UK,Low,Payment & loyalty for businesses.,
TSYS,https://www.tsys.com,Payments,Plum,10000+,$1.7B,$75.5M,Global,Active,No,,1983,USA,Low,Global payments. Part of Global Payments.,
Twid,https://twidpay.com,Loyalty Exchange,Loyalife,11-50,$5.7M,$1.4M,India,Active,No,,2020,India,Low,Points fungibility for India market.,
Uflexreward,https://www.uflexreward.com,Total Rewards,Empuls,11-50,$2.47M,—,Europe,Active,No,,2018,UK,Low,Digital total rewards platform.,
Unified Incentives,https://www.unifiedincentives.com,Incentives,Plum,11-50,—,—,APAC,Active,No,,2012,Australia,Low,Bulk incentives & gift delivery APAC.,
Unily,https://www.unily.com,Intranet,Empuls,201-500,$26M,$68M,Global,Active,No,,2005,UK,Low,Enterprise intranet platform.,
Uniqodo,https://www.uniqodo.com,Promo Tech,Plum,35-50,$1.8M,$7M,Europe,Active,No,,2014,UK,Low,Promotional marketing technology.,
Unmind,https://unmind.com,Mental Health,Empuls,51-200,$9.5M,$63.5M,Global,Active,No,,2016,UK,Low,Employee mental health platform.,
Urewards,https://urewards.com,Empuls,,11-50,—,—,Employee RnR,USA,No,Employee rewards & recognition platform.,2015,USA,Low,,
Vantage Circle,https://www.vantagecircle.com,Employee Engagement,Empuls,51-200,$49.4M,$350K,Global,Active,Yes,,2010,India,High,AI employee engagement. Direct rival.,
Varicent,https://www.varicent.com,Sales Perf Mgmt,Compass,501-1000,$150M,$49M,Global,Active,Yes,,2005,Canada,High,Enterprise sales performance. IBM spinoff.,
Vartopia,http://Vartopia.com,Channel/Loyalty,"Loyalife,Compass",51-200,—,$1.61M,USA,Active,No,,2009,USA,Low,Channel management & loyalty.,
Vauchar,https://vauchar.com,Loyalife,,11-50,—,—,Loyalty Vouchers,India,No,Loyalty voucher management. India market.,2016,India,Low,,
Vega HR,https://vega-hr.com,Employee Engagement,Empuls,11-50,$2.2M,—,USA,Active,Yes,,2019,USA,Low,AI HR automation & engagement.,
VeriPark,https://www.veripark.com,Banking Loyalty,Loyalife,501-1000,—,—,Europe,Active,No,,1998,UK,Low,Omnichannel banking loyalty.,
Vernost,https://www.vernost.com,Loyalty Platform,Loyalife,201-500,$3.88M,—,India,Active,No,,2011,India,Low,Loyalty & customer engagement. India.,
Verrency,https://www.verrency.com,"Loyalife, Plum",,2-10,—,$13.9M,Payment Loyalty,APAC,No,Payment innovation & loyalty for financial institutions.,2016,Australia,Medium,,
VIBE,https://www.vibe.uk.com,Empuls,,11-50,—,—,Employee Surveys,Europe,No,Employee engagement & ED&I surveys. UK.,2010,UK,Low,,
Virgin Pulse,https://personifyhealth.com,Wellness,Empuls,1001-5000,—,$92M,USA,Active,No,,2004,USA,Low,Employee wellness & gamification.,
Virtual Incentives,https://www.virtualincentives.com,Payouts/Prepaid,Plum,51-200,$16.5M,—,USA,Active,No,,2010,USA,Low,Digital incentive delivery & payouts.,
Vivup,https://www.vivupbenefits.co.uk,Employee Benefits,Empuls,51-200,$51.6M,$539K,Europe,Active,No,,2005,UK,Medium,Benefits & recognition. UK-focused.,
Vocoli,https://www.vocoli.com,Empuls,,11-50,—,—,Employee Surveys,USA,No,Employee voice & suggestion platform.,2013,USA,Low,,
VouchaGram,http://www.vouchagram.com,Gift Cards,Plum,51-200,$14.5M,—,India,Active,No,,2012,India,Medium,Gift voucher & loyalty. India market.,
VoucherCart,https://vouchercart.com,Vouchers,Plum,10-20,$1.5M,—,UK,Active,No,,2013,UK,Low,Voucher platform. Hospitality & retail.,
Voucherify,https://www.voucherify.io,Promotions API,"Plum,Loyalife",35-50,—,$5.7M,Global,Active,Yes,,2013,Poland,Medium,Developer-first promotions engine. AI.,
Voyado,https://voyado.com,Loyalife,,201-500,$40M+,—,CRM / Loyalty,Europe,Yes,AI-powered CRM & loyalty for retail. Nordic leader.,2005,Sweden,Medium,,
Waggl (Perceptyx),https://www.waggl.com,Surveys,Empuls,51-200,—,$8.3M,USA,Acquired,No,,2014,USA,Low,Acquired by Perceptyx. Surveys.,
Walaplus,https://www.walaplus.com,Wellness/RnR,Empuls,51-200,—,$600K,MEA,Active,No,,2015,UAE,Low,"Wellness, RnR & perks. UAE.",
We-matter,https://we-matter.com,Empuls,,11-50,—,—,Employee Engagement,USA,No,Employee engagement & wellbeing platform.,2018,USA,Low,,
Wex Inc,https://www.wexinc.com,"Plum, Empuls",,1001-5000,—,—,Payments / Benefits,USA,No,"Fleet payments, benefits & rewards solutions.",1983,USA,Low,,
Wildfire Systems,https://wildfire-corp.com,Card-linked Offers,Loyalife,~75,—,$24.5M,USA,Active,No,$24.5M raised,2017,USA,Medium,White-label card-linked offers & cashback.,
Wimper Benefits,https://wimperbenefits.com,Empuls,,11-50,—,—,Insurance / Benefits,Global,No,Insurance & employee benefits platform.,2018,—,Low,,
Winningtemp,https://www.winningtemp.com,Surveys,Empuls,51-200,—,$21.8M,Europe,Active,Yes,,2014,Sweden,Low,AI employee engagement surveys.,
Wishlist Rewards,https://enjoywishlist.com,Employee RnR,Empuls,11-50,—,—,USA,Active,No,,2012,USA,Low,Employee engagement & R&R.,
WithJuno,https://www.withjuno.com,Benefits,Empuls,11-50,—,$5.64M,Europe,Active,No,,2019,UK,Low,Health & wellness benefits. UK.,
Woliba,https://woliba.io,Empuls,,11-50,—,—,Employee Wellness,USA,No,"Employee wellness, engagement & recognition platform.",2018,USA,Low,,
WorkBuzz,https://workbuzz.com,Surveys,Empuls,51-200,—,$10.9M,Europe,Active,No,,2014,UK,Low,Employee feedback & review.,
Workfam,https://workfam.com,Employee RnR,Empuls,2-10,—,—,MEA,Active,No,,2018,UAE,Low,Employee RnR & HR Tech. Dubai.,
Working Advantage,https://www.workingadvantage.com,Experiences,Empuls,201-500,—,—,USA,Active,No,,2001,USA,Low,Employee discount tickets & experiences.,
Workleap,https://workleap.com,Full Engagement,Empuls,201-500,—,—,Canada,Active,No,,2005,Canada,Medium,Full employee engagement platform.,
WorkPerks (Venngo),https://workperks.venngo.com,Empuls,,11-50,—,—,Perks / Discounts,Canada,No,Employee perks & discount network. Canada.,2005,Canada,Low,,
Workrede,https://workrede.com,Empuls,,11-50,—,—,Blue Collar App,USA,No,Frontline workforce communication & engagement.,2018,USA,Low,,
Workspan,http://www.workspan.com,Channel Loyalty,"Loyalife,Compass",51-200,$29M,$66M,USA,Active,No,,2015,USA,Medium,Ecosystem cloud for channel & co-selling.,
Workstep,https://www.workstep.com,Empuls,,51-200,—,—,Blue Collar App,USA,No,Frontline employee hiring & engagement platform.,2018,USA,Low,,
WorkTango,https://www.worktango.com,Employee RnR,Empuls,51-200,$2.2M,$8M,USA,Active,No,,2013,USA,Low,"Rewards, surveying & feedback.",
Workvivo (Zoom),https://www.workvivo.com,Employee Comms,Empuls,201-500,$35M,$38.5M,Global,Acquired,No,,2017,Ireland,Low,Acquired by Zoom 2023.,
Worxogo,https://www.worxogo.com,Sales Incentives,"Compass,Empuls",11-50,$1.5M,$2.96M,India,Active,Yes,,2015,India,Medium,AI nudge-based performance & incentives.,
Xactly,https://www.xactlycorp.com,Sales Perf Mgmt,Compass,501-1000,$171.4M,$89.9M,Global,Active,Yes,,2005,USA,High,Market leader in enterprise sales comp.,
Xcelaration,https://xceleration.com,Gifting/RnR,"Plum,Empuls",51-200,—,—,USA,Active,No,,2000,USA,Low,Corporate gifting & recognition.,
Xeno,https://www.getxeno.com,Loyalty/CRM,Loyalife,51-200,—,—,India,Active,Yes,,2018,India,Low,AI loyalty & CRM for Indian retail.,
Xexec,https://www.xexec.com,Benefits & RnR,Empuls,11-50,$70M,—,Europe,Acquired,No,,2000,UK,Low,Acquired by Reward Gateway.,
Xref,https://www.xref.com,Empuls,,51-200,—,—,HR Surveys,APAC,No,Employee reference checks & engagement surveys. APAC.,2016,Australia,Low,,
xto10x,https://www.xto10x.com,OKR/Surveys,Empuls,51-200,$8.6M,$25M,India,Active,Yes,,2019,India,Low,"OKR, people pulse & growth. India.",
Yotpo,http://www.yotpo.com,eComm Loyalty,Loyalife,501-1000,$180M,$436M,Global,Active,Yes,,2011,USA,High,eCommerce loyalty & reviews. $436M.,
Yougotagift,https://yougotagift.com,Gift Cards,Plum,51-200,—,—,MEA,Active,No,,2013,UAE,Medium,Gift cards & eVouchers. Middle East.,
Yoyo Group,https://yoyogroup.com,Loyalty API,"Plum,Loyalife",51-200,$225M,—,APAC,Active,No,,2012,South Africa,Medium,Mobile loyalty & reward API. Africa.,
Zaggle,https://www.zaggle.in,Cards/Benefits,"Plum,Empuls",201-500,$95.1M,$1.98M,India,Active,No,,2011,India,Medium,"Prepaid cards, expense & benefits.",
Zap (Zap.com.ph),https://www.zap.com.ph,Loyalife,,11-50,—,—,Loyalty,APAC,No,Loyalty & rewards platform. Philippines market.,2015,Philippines,Low,,
Zealot,https://www.joinzealot.com,Loyalife,,11-50,—,—,Customer Loyalty,USA,No,Customer loyalty & community engagement platform.,2020,USA,Low,,
Zeapl,—,Empuls,,11-50,—,—,Employee Engagement,India,No,Employee engagement & rewards platform. India.,2018,India,Low,,
Zencentiv,https://zencentiv.com,Sales Commission,Compass,2-10,—,—,USA,Active,No,,2020,USA,Low,Sales incentive compensation platform.,
Zinrelo,https://zinrelo.com,Loyalty/Rewards,Loyalife,51-200,$11.2M,$1M,Global,Active,Yes,,2014,USA,Medium,360-degree loyalty with ML analytics.,
Zoho Thrive,https://www.zoho.com/thrive,Loyalty Platform,Loyalife,10000+,—,Bootstrapped,Global,Active,Yes,,1996,India,Medium,Zoho's loyalty & affiliate platform.,
ZS Javelin,https://www.zs.com,Sales Consulting,Compass,10000+,—,—,Global,Active,No,,1983,USA,Medium,Sales compensation consulting & tools.,
